2017-03-18 10:25:09 status installed libaudit1:amd64 1:2.4-1+b1
2017-03-18 10:25:09 configure libtinfo5:amd64 5.9+20140913-1+b1 <none>
2017-03-18 10:25:09 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:10 status half-configured libtinfo5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:10 status installed libtinfo5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:10 configure libudev1:amd64 215-17+deb8u6 <none>
2017-03-18 10:25:10 status unpacked libudev1:amd64 215-17+deb8u6
2017-03-18 10:25:10 status half-configured libudev1:amd64 215-17+deb8u6
2017-03-18 10:25:10 status installed libudev1:amd64 215-17+deb8u6
2017-03-18 10:25:10 configure kmod:amd64 18-3 <none>
2017-03-18 10:25:10 status unpacked kmod:amd64 18-3
2017-03-18 10:25:10 status half-configured kmod:amd64 18-3
2017-03-18 10:25:10 status installed kmod:amd64 18-3
2017-03-18 10:25:10 configure libattr1:amd64 1:2.4.47-2 <none>
2017-03-18 10:25:10 status unpacked libattr1:amd64 1:2.4.47-2
2017-03-18 10:25:10 status half-configured libattr1:amd64 1:2.4.47-2
2017-03-18 10:25:10 status installed libattr1:amd64 1:2.4.47-2
2017-03-18 10:25:11 configure libss2:amd64 1.42.12-2+b1 <none>
2017-03-18 10:25:11 status unpacked libss2:amd64 1.42.12-2+b1
2017-03-18 10:25:11 status half-configured libss2:amd64 1.42.12-2+b1
2017-03-18 10:25:11 status installed libss2:amd64 1.42.12-2+b1
2017-03-18 10:25:11 configure libexpat1:amd64 2.1.0-6+deb8u3 <none>
2017-03-18 10:25:11 status unpacked libexpat1:amd64 2.1.0-6+deb8u3
2017-03-18 10:25:11 status half-configured libexpat1:amd64 2.1.0-6+deb8u3
2017-03-18 10:25:11 status installed libexpat1:amd64 2.1.0-6+deb8u3
2017-03-18 10:25:11 configure liblzma5:amd64 5.1.1alpha+20120614-2+b3 <none>
2017-03-18 10:25:11 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2+b3
2017-03-18 10:25:11 status half-configured liblzma5:amd64 5.1.1alpha+20120614-2+b3
2017-03-18 10:25:11 status installed liblzma5:amd64 5.1.1alpha+20120614-2+b3
2017-03-18 10:25:11 configure libhogweed2:amd64 2.7.1-5+deb8u2 <none>
2017-03-18 10:25:11 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2017-03-18 10:25:11 status half-configured libhogweed2:amd64 2.7.1-5+deb8u2
2017-03-18 10:25:12 status installed libhogweed2:amd64 2.7.1-5+deb8u2
2017-03-18 10:25:12 configure dosfstools:amd64 3.0.27-1 <none>
2017-03-18 10:25:12 status unpacked dosfstools:amd64 3.0.27-1
2017-03-18 10:25:12 status half-configured dosfstools:amd64 3.0.27-1
2017-03-18 10:25:12 status installed dosfstools:amd64 3.0.27-1
2017-03-18 10:25:12 configure base-passwd:amd64 3.5.37 <none>
2017-03-18 10:25:12 status unpacked base-passwd:amd64 3.5.37
2017-03-18 10:25:12 status half-configured base-passwd:amd64 3.5.37
2017-03-18 10:25:12 status installed base-passwd:amd64 3.5.37
2017-03-18 10:25:12 configure e2fslibs:amd64 1.42.12-2+b1 <none>
2017-03-18 10:25:12 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-03-18 10:25:12 status half-configured e2fslibs:amd64 1.42.12-2+b1
2017-03-18 10:25:13 status installed e2fslibs:amd64 1.42.12-2+b1
2017-03-18 10:25:13 configure debianutils:amd64 4.4+b1 <none>
2017-03-18 10:25:13 status unpacked debianutils:amd64 4.4+b1
2017-03-18 10:25:13 status half-configured debianutils:amd64 4.4+b1
2017-03-18 10:25:13 status installed debianutils:amd64 4.4+b1
2017-03-18 10:25:13 configure libgcrypt20:amd64 1.6.3-2+deb8u2 <none>
2017-03-18 10:25:13 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-03-18 10:25:13 status half-configured libgcrypt20:amd64 1.6.3-2+deb8u2
2017-03-18 10:25:13 status installed libgcrypt20:amd64 1.6.3-2+deb8u2
2017-03-18 10:25:13 configure libncursesw5:amd64 5.9+20140913-1+b1 <none>
2017-03-18 10:25:13 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:13 status half-configured libncursesw5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:14 status installed libncursesw5:amd64 5.9+20140913-1+b1
2017-03-18 10:25:14 configure libdb5.3:amd64 5.3.28-9 <none>
2017-03-18 10:25:14 status unpacked libdb5.3:amd64 5.3.28-9
2017-03-18 10:25:14 status half-configured libdb5.3:amd64 5.3.28-9
2017-03-18 10:25:14 status installed libdb5.3:amd64 5.3.28-9
2017-03-18 10:25:14 configure zlib1g:amd64 1:1.2.8.dfsg-2+b1 <none>
2017-03-18 10:25:14 status unpacked zlib1g:amd64 1:1.2.8.dfsg-2+b1
2017-03-18 10:25:14 status half-configured zlib1g:amd64 1:1.2.8.dfsg-2+b1
2017-03-18 10:25:14 status installed zlib1g:amd64 1:1.2.8.dfsg-2+b1
2017-03-18 10:25:14 configure hostname:amd64 3.15 <none>
2017-03-18 10:25:14 status unpacked hostname:amd64 3.15
2017-03-18 10:25:14 status half-configured hostname:amd64 3.15
2017-03-18 10:25:14 status installed hostname:amd64 3.15
2017-03-18 10:25:14 configure mawk:amd64 1.3.3-17 <none>
2017-03-18 10:25:14 status unpacked mawk:amd64 1.3.3-17
2017-03-18 10:25:14 status half-configured mawk:amd64 1.3.3-17
2017-03-18 10:25:15 status installed mawk:amd64 1.3.3-17
2017-03-18 10:25:15 configure gpgv:amd64 1.4.18-7+deb8u3 <none>
2017-03-18 10:25:15 status unpacked gpgv:amd64 1.4.18-7+deb8u3
2017-03-18 10:25:15 status half-configured gpgv:amd64 1.4.18-7+deb8u3
2017-03-18 10:25:15 status installed gpgv:amd64 1.4.18-7+deb8u3
2017-03-18 10:25:15 configure libcap2:amd64 1:2.24-8 <none>
2017-03-18 10:25:15 status unpacked libcap2:amd64 1:2.24-8
2017-03-18 10:25:15 status half-configured libcap2:amd64 1:2.24-8
2017-03-18 10:25:15 status installed libcap2:amd64 1:2.24-8
2017-03-18 10:25:15 configure libsystemd0:amd64 215-17+deb8u6 <none>
2017-03-18 10:25:15 status unpacked libsystemd0:amd64 215-17+deb8u6
2017-03-18 10:25:15 status half-configured libsystemd0:amd64 215-17+deb8u6
2017-03-18 10:25:15 status installed libsystemd0:amd64 215-17+deb8u6
2017-03-18 10:25:15 configure libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1 <none>
2017-03-18 10:25:15 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-03-18 10:25:15 status half-configured libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
